,Datetime,Region,Technology,Tech category,Value
119,2030,reg1,Hydro_PP_6,Supply,0.0
120,2019,reg1,Hydro_PP_7,Supply,0.0
121,2020,reg1,Hydro_PP_7,Supply,0.0
122,2021,reg1,Hydro_PP_7,Supply,0.0
123,2022,reg1,Hydro_PP_7,Supply,0.0
124,2023,reg1,Hydro_PP_7,Supply,0.0
125,2024,reg1,Hydro_PP_7,Supply,0.0
126,2025,reg1,Hydro_PP_7,Supply,0.0
127,2026,reg1,Hydro_PP_7,Supply,0.0
128,2027,reg1,Hydro_PP_7,Supply,0.0
129,2028,reg1,Hydro_PP_7,Supply,0.0
130,2029,reg1,Hydro_PP_7,Supply,0.0
131,2030,reg1,Hydro_PP_7,Supply,0.0
132,2019,reg1,Hydro_PP_8,Supply,0.0
133,2020,reg1,Hydro_PP_8,Supply,0.0
134,2021,reg1,Hydro_PP_8,Supply,0.0
135,2022,reg1,Hydro_PP_8,Supply,0.0
136,2023,reg1,Hydro_PP_8,Supply,0.0
137,2024,reg1,Hydro_PP_8,Supply,0.0
138,2025,reg1,Hydro_PP_8,Supply,0.0
139,2026,reg1,Hydro_PP_8,Supply,0.0
140,2027,reg1,Hydro_PP_8,Supply,0.0
141,2028,reg1,Hydro_PP_8,Supply,0.0
142,2029,reg1,Hydro_PP_8,Supply,0.0
143,2030,reg1,Hydro_PP_8,Supply,0.0
144,2019,reg1,Hydro_PP_9,Supply,0.0
145,2020,reg1,Hydro_PP_9,Supply,0.0
146,2021,reg1,Hydro_PP_9,Supply,0.0
147,2022,reg1,Hydro_PP_9,Supply,0.0
148,2023,reg1,Hydro_PP_9,Supply,0.0
149,2024,reg1,Hydro_PP_9,Supply,0.0
150,2025,reg1,Hydro_PP_9,Supply,0.0
151,2026,reg1,Hydro_PP_9,Supply,0.0
152,2027,reg1,Hydro_PP_9,Supply,0.0
153,2028,reg1,Hydro_PP_9,Supply,0.0
154,2029,reg1,Hydro_PP_9,Supply,0.0
155,2030,reg1,Hydro_PP_9,Supply,0.0
156,2019,reg1,Hydro_PP_10,Supply,0.0
157,2020,reg1,Hydro_PP_10,Supply,0.0
158,2021,reg1,Hydro_PP_10,Supply,0.0
159,2022,reg1,Hydro_PP_10,Supply,0.0
160,2023,reg1,Hydro_PP_10,Supply,0.0
161,2024,reg1,Hydro_PP_10,Supply,0.0
162,2025,reg1,Hydro_PP_10,Supply,0.0
163,2026,reg1,Hydro_PP_10,Supply,0.0
164,2027,reg1,Hydro_PP_10,Supply,0.0
165,2028,reg1,Hydro_PP_10,Supply,0.0
166,2029,reg1,Hydro_PP_10,Supply,0.0
167,2030,reg1,Hydro_PP_10,Supply,0.0
168,2019,reg1,PV_PP,Supply,0.0
169,2020,reg1,PV_PP,Supply,0.0
170,2021,reg1,PV_PP,Supply,0.0
171,2022,reg1,PV_PP,Supply,0.0
172,2023,reg1,PV_PP,Supply,0.0
173,2024,reg1,PV_PP,Supply,0.0
174,2025,reg1,PV_PP,Supply,0.0
175,2026,reg1,PV_PP,Supply,0.0
176,2027,reg1,PV_PP,Supply,0.0
177,2028,reg1,PV_PP,Supply,0.0
178,2029,reg1,PV_PP,Supply,0.0
179,2030,reg1,PV_PP,Supply,0.0
180,2019,reg1,Commited_hydro_PP,Supply,0.0
181,2020,reg1,Commited_hydro_PP,Supply,0.0
182,2021,reg1,Commited_hydro_PP,Supply,0.0
183,2022,reg1,Commited_hydro_PP,Supply,0.0
184,2023,reg1,Commited_hydro_PP,Supply,0.0
185,2024,reg1,Commited_hydro_PP,Supply,0.0
186,2025,reg1,Commited_hydro_PP,Supply,0.0
187,2026,reg1,Commited_hydro_PP,Supply,0.0
188,2027,reg1,Commited_hydro_PP,Supply,0.0
189,2028,reg1,Commited_hydro_PP,Supply,0.0
190,2029,reg1,Commited_hydro_PP,Supply,1047989.2029154415
191,2030,reg1,Commited_hydro_PP,Supply,253010.79708455852
192,2019,reg1,Commited_PV_PP,Supply,0.0
193,2020,reg1,Commited_PV_PP,Supply,0.0
194,2021,reg1,Commited_PV_PP,Supply,0.0
195,2022,reg1,Commited_PV_PP,Supply,0.0
196,2023,reg1,Commited_PV_PP,Supply,0.0
197,2024,reg1,Commited_PV_PP,Supply,0.0
198,2025,reg1,Commited_PV_PP,Supply,0.0
199,2026,reg1,Commited_PV_PP,Supply,0.0
200,2027,reg1,Commited_PV_PP,Supply,0.0
201,2028,reg1,Commited_PV_PP,Supply,0.0
202,2029,reg1,Commited_PV_PP,Supply,0.0
203,2030,reg1,Commited_PV_PP,Supply,620000.0
204,2019,reg1,Commited_wind_PP,Supply,0.0
205,2020,reg1,Commited_wind_PP,Supply,0.0
206,2021,reg1,Commited_wind_PP,Supply,0.0
207,2022,reg1,Commited_wind_PP,Supply,0.0
208,2023,reg1,Commited_wind_PP,Supply,0.0
209,2024,reg1,Commited_wind_PP,Supply,0.0
210,2025,reg1,Commited_wind_PP,Supply,189708.94798602274
211,2026,reg1,Commited_wind_PP,Supply,140291.05201397726
212,2027,reg1,Commited_wind_PP,Supply,0.0
213,2028,reg1,Commited_wind_PP,Supply,0.0
214,2029,reg1,Commited_wind_PP,Supply,0.0
215,2030,reg1,Commited_wind_PP,Supply,0.0
216,2019,reg1,Commited_geo_PP,Supply,0.0
