,Years,Timesteps,Region,Carrier,Value
232,Y9,17,reg1,Final_electricity,0.0
233,Y9,18,reg1,Final_electricity,0.0
234,Y9,19,reg1,Final_electricity,0.0
235,Y9,20,reg1,Final_electricity,0.0
236,Y9,21,reg1,Final_electricity,0.0
237,Y9,22,reg1,Final_electricity,0.0
238,Y9,23,reg1,Final_electricity,0.0
239,Y9,24,reg1,Final_electricity,0.0
240,Y10,1,reg1,Final_electricity,0.0
241,Y10,2,reg1,Final_electricity,0.0
242,Y10,3,reg1,Final_electricity,0.0
243,Y10,4,reg1,Final_electricity,0.0
244,Y10,5,reg1,Final_electricity,0.0
245,Y10,6,reg1,Final_electricity,0.0
246,Y10,7,reg1,Final_electricity,0.0
247,Y10,8,reg1,Final_electricity,0.0
248,Y10,9,reg1,Final_electricity,0.0
249,Y10,10,reg1,Final_electricity,0.0
250,Y10,11,reg1,Final_electricity,0.0
251,Y10,12,reg1,Final_electricity,0.0
252,Y10,13,reg1,Final_electricity,0.0
253,Y10,14,reg1,Final_electricity,0.0
254,Y10,15,reg1,Final_electricity,0.0
255,Y10,16,reg1,Final_electricity,0.0
256,Y10,17,reg1,Final_electricity,0.0
257,Y10,18,reg1,Final_electricity,0.0
258,Y10,19,reg1,Final_electricity,0.0
259,Y10,20,reg1,Final_electricity,0.0
260,Y10,21,reg1,Final_electricity,0.0
261,Y10,22,reg1,Final_electricity,0.0
262,Y10,23,reg1,Final_electricity,0.0
263,Y10,24,reg1,Final_electricity,0.0
264,Y11,1,reg1,Final_electricity,0.0
265,Y11,2,reg1,Final_electricity,0.0
266,Y11,3,reg1,Final_electricity,0.0
267,Y11,4,reg1,Final_electricity,0.0
268,Y11,5,reg1,Final_electricity,0.0
269,Y11,6,reg1,Final_electricity,0.0
270,Y11,7,reg1,Final_electricity,0.0
271,Y11,8,reg1,Final_electricity,0.0
272,Y11,9,reg1,Final_electricity,0.0
273,Y11,10,reg1,Final_electricity,0.0
274,Y11,11,reg1,Final_electricity,0.0
275,Y11,12,reg1,Final_electricity,0.0
276,Y11,13,reg1,Final_electricity,0.0
277,Y11,14,reg1,Final_electricity,0.0
278,Y11,15,reg1,Final_electricity,0.0
279,Y11,16,reg1,Final_electricity,0.0
280,Y11,17,reg1,Final_electricity,0.0
281,Y11,18,reg1,Final_electricity,0.0
282,Y11,19,reg1,Final_electricity,0.0
283,Y11,20,reg1,Final_electricity,0.0
284,Y11,21,reg1,Final_electricity,0.0
285,Y11,22,reg1,Final_electricity,0.0
286,Y11,23,reg1,Final_electricity,0.0
287,Y11,24,reg1,Final_electricity,0.0
288,Y0,1,reg2,Final_electricity,27412.212430361367
289,Y0,2,reg2,Final_electricity,27978.06333731159
290,Y0,3,reg2,Final_electricity,27258.588763047184
291,Y0,4,reg2,Final_electricity,27787.569501276423
292,Y0,5,reg2,Final_electricity,28078.60268474769
293,Y0,6,reg2,Final_electricity,28834.26303359549
294,Y0,7,reg2,Final_electricity,31354.214409578562
295,Y0,8,reg2,Final_electricity,35271.29518103716
296,Y0,9,reg2,Final_electricity,34480.64174503094
297,Y0,10,reg2,Final_electricity,32718.229156120942
298,Y0,11,reg2,Final_electricity,32775.07031884993
299,Y0,12,reg2,Final_electricity,33342.11394202465
300,Y0,13,reg2,Final_electricity,33649.36257988849
301,Y0,14,reg2,Final_electricity,31224.315927739895
302,Y0,15,reg2,Final_electricity,30045.84748120862
303,Y0,16,reg2,Final_electricity,29202.10772312939
304,Y0,17,reg2,Final_electricity,30097.05537031341
305,Y0,18,reg2,Final_electricity,32209.219412014267
306,Y0,19,reg2,Final_electricity,34699.81165188053
307,Y0,20,reg2,Final_electricity,36970.5485695198
308,Y0,21,reg2,Final_electricity,35479.19818887251
309,Y0,22,reg2,Final_electricity,30685.94772436173
310,Y0,23,reg2,Final_electricity,27898.689005400374
311,Y0,24,reg2,Final_electricity,27968.674524757083
312,Y1,1,reg2,Final_electricity,0.0
313,Y1,2,reg2,Final_electricity,0.0
314,Y1,3,reg2,Final_electricity,0.0
315,Y1,4,reg2,Final_electricity,0.0
316,Y1,5,reg2,Final_electricity,0.0
317,Y1,6,reg2,Final_electricity,0.0
318,Y1,7,reg2,Final_electricity,0.0
319,Y1,8,reg2,Final_electricity,0.0
320,Y1,9,reg2,Final_electricity,0.0
321,Y1,10,reg2,Final_electricity,0.0
322,Y1,11,reg2,Final_electricity,0.0
323,Y1,12,reg2,Final_electricity,0.0
324,Y1,13,reg2,Final_electricity,0.0
325,Y1,14,reg2,Final_electricity,0.0
326,Y1,15,reg2,Final_electricity,0.0
327,Y1,16,reg2,Final_electricity,0.0
328,Y1,17,reg2,Final_electricity,0.0
329,Y1,18,reg2,Final_electricity,893.7228268011512
330,Y1,19,reg2,Final_electricity,2757.2062067710117
331,Y1,20,reg2,Final_electricity,3655.2610675807764
332,Y1,21,reg2,Final_electricity,2461.6697770713176
333,Y1,22,reg2,Final_electricity,0.0
334,Y1,23,reg2,Final_electricity,0.0
335,Y1,24,reg2,Final_electricity,0.0
336,Y2,1,reg2,Final_electricity,266.8095698742885
337,Y2,2,reg2,Final_electricity,726.0610122073773
338,Y2,3,reg2,Final_electricity,232.28755773426838
339,Y2,4,reg2,Final_electricity,766.131420535658
340,Y2,5,reg2,Final_electricity,1135.8124379310195
341,Y2,6,reg2,Final_electricity,1941.3830902745462
342,Y2,7,reg2,Final_electricity,3694.0781286281112
343,Y2,8,reg2,Final_electricity,3107.6130812337697
344,Y2,9,reg2,Final_electricity,0.0
345,Y2,10,reg2,Final_electricity,0.0
346,Y2,11,reg2,Final_electricity,0.0
347,Y2,12,reg2,Final_electricity,0.0
348,Y2,13,reg2,Final_electricity,0.0
349,Y2,14,reg2,Final_electricity,0.0
350,Y2,15,reg2,Final_electricity,0.0
351,Y2,16,reg2,Final_electricity,0.0
352,Y2,17,reg2,Final_electricity,113.52429354950684
353,Y2,18,reg2,Final_electricity,5095.8206362178835
354,Y2,19,reg2,Final_electricity,7639.71314679568
355,Y2,20,reg2,Final_electricity,8723.727896714388
356,Y2,21,reg2,Final_electricity,7082.197847500504
357,Y2,22,reg2,Final_electricity,3068.3941938880603
358,Y2,23,reg2,Final_electricity,739.3086347329418
359,Y2,24,reg2,Final_electricity,687.6779626314465
360,Y3,1,reg2,Final_electricity,1700.757548215669
361,Y3,2,reg2,Final_electricity,2237.645462045191
362,Y3,3,reg2,Final_electricity,1675.211505020915
363,Y3,4,reg2,Final_electricity,2316.47203813556
364,Y3,5,reg2,Final_electricity,2770.5753514035314
365,Y3,6,reg2,Final_electricity,3743.9141001508046
366,Y3,7,reg2,Final_electricity,5744.844829435767
367,Y3,8,reg2,Final_electricity,4440.610154604039
368,Y3,9,reg2,Final_electricity,0.0
369,Y3,10,reg2,Final_electricity,0.0
370,Y3,11,reg2,Final_electricity,0.0
371,Y3,12,reg2,Final_electricity,0.0
372,Y3,13,reg2,Final_electricity,0.0
373,Y3,14,reg2,Final_electricity,0.0
374,Y3,15,reg2,Final_electricity,0.0
375,Y3,16,reg2,Final_electricity,0.0
376,Y3,17,reg2,Final_electricity,1117.1352136921444
377,Y3,18,reg2,Final_electricity,7549.440639859147
378,Y3,19,reg2,Final_electricity,10538.34833248066
