,Year,Timesteps,From reg,To reg,Carrier,Value
8189,2024,6,reg3,reg1,Electricity,0.0
8190,2024,7,reg3,reg1,Electricity,0.0
8191,2024,8,reg3,reg1,Electricity,0.0
8192,2024,9,reg3,reg1,Electricity,0.0
8193,2024,10,reg3,reg1,Electricity,0.0
8194,2024,11,reg3,reg1,Electricity,0.0
8195,2024,12,reg3,reg1,Electricity,0.0
8196,2024,13,reg3,reg1,Electricity,0.0
8197,2024,14,reg3,reg1,Electricity,0.0
8198,2024,15,reg3,reg1,Electricity,0.0
8199,2024,16,reg3,reg1,Electricity,0.0
8200,2024,17,reg3,reg1,Electricity,0.0
8201,2024,18,reg3,reg1,Electricity,0.0
8202,2024,19,reg3,reg1,Electricity,0.0
8203,2024,20,reg3,reg1,Electricity,0.0
8204,2024,21,reg3,reg1,Electricity,0.0
8205,2024,22,reg3,reg1,Electricity,0.0
8206,2024,23,reg3,reg1,Electricity,0.0
8207,2024,24,reg3,reg1,Electricity,0.0
8208,2025,1,reg3,reg1,Electricity,0.0
8209,2025,2,reg3,reg1,Electricity,0.0
8210,2025,3,reg3,reg1,Electricity,0.0
8211,2025,4,reg3,reg1,Electricity,0.0
8212,2025,5,reg3,reg1,Electricity,0.0
8213,2025,6,reg3,reg1,Electricity,0.0
8214,2025,7,reg3,reg1,Electricity,0.0
8215,2025,8,reg3,reg1,Electricity,0.0
8216,2025,9,reg3,reg1,Electricity,0.0
8217,2025,10,reg3,reg1,Electricity,0.0
8218,2025,11,reg3,reg1,Electricity,0.0
8219,2025,12,reg3,reg1,Electricity,0.0
8220,2025,13,reg3,reg1,Electricity,0.0
8221,2025,14,reg3,reg1,Electricity,0.0
8222,2025,15,reg3,reg1,Electricity,0.0
8223,2025,16,reg3,reg1,Electricity,0.0
8224,2025,17,reg3,reg1,Electricity,0.0
8225,2025,18,reg3,reg1,Electricity,0.0
8226,2025,19,reg3,reg1,Electricity,0.0
8227,2025,20,reg3,reg1,Electricity,0.0
8228,2025,21,reg3,reg1,Electricity,0.0
8229,2025,22,reg3,reg1,Electricity,0.0
8230,2025,23,reg3,reg1,Electricity,0.0
8231,2025,24,reg3,reg1,Electricity,0.0
8232,2026,1,reg3,reg1,Electricity,0.0
8233,2026,2,reg3,reg1,Electricity,0.0
8234,2026,3,reg3,reg1,Electricity,0.0
8235,2026,4,reg3,reg1,Electricity,0.0
8236,2026,5,reg3,reg1,Electricity,0.0
8237,2026,6,reg3,reg1,Electricity,0.0
8238,2026,7,reg3,reg1,Electricity,0.0
8239,2026,8,reg3,reg1,Electricity,0.0
8240,2026,9,reg3,reg1,Electricity,0.0
8241,2026,10,reg3,reg1,Electricity,0.0
8242,2026,11,reg3,reg1,Electricity,0.0
8243,2026,12,reg3,reg1,Electricity,0.0
8244,2026,13,reg3,reg1,Electricity,0.0
8245,2026,14,reg3,reg1,Electricity,0.0
8246,2026,15,reg3,reg1,Electricity,0.0
8247,2026,16,reg3,reg1,Electricity,0.0
8248,2026,17,reg3,reg1,Electricity,0.0
8249,2026,18,reg3,reg1,Electricity,0.0
8250,2026,19,reg3,reg1,Electricity,0.0
