,Years,Timesteps,Region,Carrier,Value
513,Y9,10,reg2,Final_electricity,279059.8899346192
514,Y9,11,reg2,Final_electricity,293676.4403620165
515,Y9,12,reg2,Final_electricity,307365.11301681097
516,Y9,13,reg2,Final_electricity,314959.11244420824
517,Y9,14,reg2,Final_electricity,289131.8661702356
518,Y9,15,reg2,Final_electricity,274552.6958332493
519,Y9,16,reg2,Final_electricity,260607.70592366028
520,Y9,17,reg2,Final_electricity,266828.3294332493
521,Y9,18,reg2,Final_electricity,281082.25987982465
522,Y9,19,reg2,Final_electricity,295503.16618119454
523,Y9,20,reg2,Final_electricity,312145.69642776984
524,Y9,21,reg2,Final_electricity,293182.7822633863
525,Y9,22,reg2,Final_electricity,238381.0009154411
526,Y9,23,reg2,Final_electricity,207461.431186674
527,Y9,24,reg2,Final_electricity,209863.13438667398
528,Y10,1,reg2,Final_electricity,229313.71835105753
529,Y10,2,reg2,Final_electricity,239369.6052332493
530,Y10,3,reg2,Final_electricity,232264.59055105754
531,Y10,4,reg2,Final_electricity,238485.07140585204
532,Y10,5,reg2,Final_electricity,241579.4024332493
533,Y10,6,reg2,Final_electricity,254714.6831428384
534,Y10,7,reg2,Final_electricity,291474.4832442082
535,Y10,8,reg2,Final_electricity,339628.2579373589
536,Y10,9,reg2,Final_electricity,321252.0906551671
537,Y10,10,reg2,Final_electricity,309196.87623598904
538,Y10,11,reg2,Final_electricity,321073.7006359891
539,Y10,12,reg2,Final_electricity,337502.0993181808
540,Y10,13,reg2,Final_electricity,345096.0987455781
541,Y10,14,reg2,Final_electricity,316529.1264442082
542,Y10,15,reg2,Final_electricity,299210.2300798246
543,Y10,16,reg2,Final_electricity,288004.9661976329
544,Y10,17,reg2,Final_electricity,294225.58970722195
545,Y10,18,reg2,Final_electricity,308479.52015379723
546,Y10,19,reg2,Final_electricity,325640.1524825644
547,Y10,20,reg2,Final_electricity,345022.40875653696
548,Y10,21,reg2,Final_electricity,323319.76856475614
549,Y10,22,reg2,Final_electricity,263038.53516201646
550,Y10,23,reg2,Final_electricity,232118.96543324934
551,Y10,24,reg2,Final_electricity,234520.66863324933
552,Y11,1,reg2,Final_electricity,231076.00720463012
553,Y11,2,reg2,Final_electricity,241131.89408682194
